acno,accession,cultivar_name,sd_moved,sd_new,e_locality,cmt,sd_unique,site,ivt,whynull,origin_country,origin_province,origin_city,collector,breeder,loc1,loc2,loc3,loc4,location_field,location_greenhouse,distribute,status,alive,statcmt,plant_type,taxno,sitecmt,acp,e_pedigree,e_genus,e_species,e_subspecies,e_habita,e_cmt,e_quant,e_units,e_cform,e_plants_collected,e_released,e_datefmt,e_lath,e_latd,e_latm,e_lonh,e_lond,e_lonm,e_lons,e_lats,e_elev,family,e_breeder_or_collector,m_transfer_history,e_origin_institute,e_origin_address1,e_origin_address2,e_origin_postal_code,e_date_collected,acimpt,uniform
102871,MAL0100,Heyer #6,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,SK,Neville,,A. Heyer,F C North,,,,Main C,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,unknown,Malus,domestica,,,,,,,,1936,,,,,,,,,,,Rosacae,B,,,,,,,,
102905,MAL0101,King,FALSE,FALSE,,,FALSE,CCG,PL,,USA,NJ,Washington,,Jacob Wycoff,F Affleck T5,,,,Affleck T5,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,1800's,,,,,,,,,,,Rosacae,B,,,,,,,,
103222,MAL0102,Ribston,FALSE,FALSE,,,FALSE,CCG,PL,,UK,Yorkshire,Knaresborough,,,F Affleck T5,,,,Affleck T5,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,seedling,Malus,domestica,,,,,,,,1700's,,,,,,,,,,,Rosacae,B,,,,,,,,
103341,MAL0103,Trent,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,ON,Smithfield,,"L.P.S. Spangelo, S.J. Leuty & H.B. Heeney",F Affleck T5,,,,Affleck T5,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,McIntosh x R18 T40 (complex parentage),Malus,domestica,,,,,,,,1979,,,,,,,,,,,Rosacae,B,,,,,,,,
103177,MAL0104,Patterson,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,SK,Saskatoon,,C.F. Patterson,F Affleck T5,,,,Affleck T5,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,Columbia x Melba,Malus,domestica,,,,,,,,1960,,,,,,,,,,,Rosacae,B,,,,,,,,
102732,MAL0105,Caravel,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,ON,Ottawa,,L.P.S. Spangelo,F Affleck T5,,,,Affleck T5,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,Melba x Crimson Beauty,Malus,domestica,,,,,,,,1964,,,,,,,,,,,Rosacae,B,,,,,,,,
103337,MAL0106,Trail,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,ON,Ottawa,,William Saunders,F Affleck T5,,,,Affleck T5,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,Northern Queen x Rideau,Malus,domestica,,,,,,,,1923,,,,,,,,,,,Rosacae,B,,,,,,,,
102700,MAL0107,Bedford,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,MN,Brandon,,,F Affleck T5,,,,Affleck T5,,TRUE,AVAIL,TRUE,,apple,104681,crabapple,CN,Cluster seedling,Malus,domestica,,,,,,,,1928,,,,,,,,,,,Rosacae,B,,,,,,,ROOTSTALK,
102719,MAL0108,Breakey,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,MN,Morden,,AAFC,F Affleck T5,,,,Affleck T5,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,O.P. Blushed Calville seedling,Malus,domestica,,,,,,,,1935,,,,,,,,,,,Rosacae,B,,,,,,,,
102738,MAL0109,Charlotte,FALSE,FALSE,,,FALSE,CCG,PL,,CAN,NS,Kentville,,,F Affleck T5,,,,Affleck T5,,TRUE,AVAIL,TRUE,,Apple,104681,,CN,,Malus,domestica,,,,,,,,,,,,,,,,,,,Rosacae,B,,,,,,,,
